URL,Version,Status,OIDs,Name,Title,Description,Used
http://fhir.de/ConsentManagement/CodeSystem/ResultType,2.0.3,active,,ResultType,,"Ergebnistypen des Einwilligungsdokuments","ValueSet/valueset-consent-management-result-type"
http://fhir.de/ConsentManagement/CodeSystem/TemplateType,2.0.3,active,,TemplateType,,"Typen des Einwilligungsdokuments","ValueSet/valueset-consent-management-template-type"
urn:iso-astm:E1762-95:2013,4.0.1,draft,"2.16.840.1.113883.4.642.4.64",SignatureTypeCodes,Signature Type Codes,"The Digital Signature Purposes, an indication of the reason an entity signs a document. This is included in the signed information and can be used when determining accountability for various actions concerning the document. Examples include: author, transcriptionist/recorder, and witness.","ValueSet/mii-vs-consent-signaturetypes"
urn:oid:2.16.840.1.113883.3.1937.777.24.5.2,2027.0.0-ballot.rc1,active,"2.16.840.1.113883.3.1937.777.24.5.2",MII_CS_Consent_Answer,MII Consent: Answer CodeSystem,"This CodeSystem contains the possible answers to the questions of the MII Consent.","ValueSet/mii-vs-consent-answer"
urn:oid:2.16.840.1.113883.3.1937.777.24.5.3,2027.0.0-ballot.rc1,active,"2.16.840.1.113883.3.1937.777.24.5.3",MII CS Consent Policy,MII Consent: Policy CodeSystem,"Codesystem mit Consent-Policy-Codes zur interoperablen Operationalisierung bzw. Durchsetzung (Enforcement) von Consent Informationen des MII Broad Consent","ValueSet/mii-vs-consent-policy"
