URL,Version,Status,OIDs,Name,Title,Description,Used
https://www.medizininformatik-initiative.de/fhir/modul-consent/CodeSystem/mii-cs-consent-version-modules,2027.0.0-ballot.rc1,draft,"2.16.840.1.113883.3.1937.777.24.5.27",MIIConsentVersionModuleCodeSystem,MII Consent Version and Modules CodeSystem,"Dieses Code System enthält die OIDs der verschiedenen Versionen und Zusatzmodule des Broad Consent der Medizininformatik Initiative.",
urn:oid:2.16.840.1.113883.3.1937.777.24.5.2,2027.0.0-ballot.rc1,active,"2.16.840.1.113883.3.1937.777.24.5.2",MII_CS_Consent_Answer,MII Consent: Answer CodeSystem,"This CodeSystem contains the possible answers to the questions of the MII Consent.","ValueSet/2.16.840.1.113883.3.1937.777.24.11.30--20210323234509"
urn:oid:2.16.840.1.113883.3.1937.777.24.5.3,2027.0.0-ballot.rc1,active,"2.16.840.1.113883.3.1937.777.24.5.3",MII CS Consent Policy,MII Consent: Policy CodeSystem,"Codesystem mit Consent-Policy-Codes zur interoperablen Operationalisierung bzw. Durchsetzung (Enforcement) von Consent Informationen des MII Broad Consent","ValueSet/2.16.840.1.113883.3.1937.777.24.11.36--20230331232804"
