property	pre	post	verdict
identity.id	-	mii-ig-consent	not-measurable
identity.canonical	-	https://www.medizininformatik-initiative.de/fhir/modul-consent	not-measurable
identity.packageId	-	de.medizininformatikinitiative.kerndatensatz.consent	not-measurable
identity.name	-	MII_IG_Consent	not-measurable
identity.version	-	2027.0.0-ballot.rc1	not-measurable
identity.fhirVersion	-	4.0.1	not-measurable
identity.license	-	CC-BY-4.0	not-measurable
identity.calver	false	true	expected-change
identity.publisher	-	NUM-DIZ	not-measurable
identity.status	-	active	not-measurable
identity.title	-	MII Implementation Guide Consent	not-measurable
licence.contradictory	false	true	REGRESSION
dependency_health.injection_risk	true	false	improved
narrative_sources.dual_source	false	false	unchanged
mode	reduced	static	expected-change
artifacts.profiles	0	3	expected-change
artifacts.extensions	0	0	unchanged
artifacts.valuesets	0	3	expected-change
artifacts.codesystems	0	3	expected-change
artifacts.logicals	0	0	unchanged
artifacts.capabilitystatements	0	1	expected-change
artifacts.questionnaires	0	0	unchanged
artifacts.searchparameters	0	6	expected-change
artifacts.operations	0	0	unchanged
artifacts.examples	0	6	expected-change
artifacts.rulesets	0	55	expected-change
artifacts.invariants	0	0	unchanged
artifacts.mappings	0	0	unchanged
artifacts.other_total	0	0	unchanged
artifacts.total	0	22	expected-change
narrative.pages	0	18	expected-change
narrative.intro_note_pages	0	3	expected-change
narrative.translation_pages	0	18	expected-change
directives.total	0	0	unchanged
