URL,Version,Status,OIDs,Name,Title,Description,Used
urn:iso-astm:E1762-95:2013,4.0.1,draft,"2.16.840.1.113883.4.642.4.64",SignatureTypeCodes,Signature Type Codes,"The Digital Signature Purposes, an indication of the reason an entity signs a document. This is included in the signed information and can be used when determining accountability for various actions concerning the document. Examples include: author, transcriptionist/recorder, and witness.","ValueSet/88464c5b-5338-4c2b-9c07-b42fef2ada64"
urn:oid:2.16.840.1.113883.3.1937.777.24.5.2,2027.0.0-ballot.rc1,active,"2.16.840.1.113883.3.1937.777.24.5.2",MII_CS_Consent_Answer,MII Consent: Answer CodeSystem,"This CodeSystem contains the possible answers to the questions of the MII Consent.","ValueSet/2.16.840.1.113883.3.1937.777.24.11.30--20210323234509"
urn:oid:2.16.840.1.113883.3.1937.777.24.5.3,2027.0.0-ballot.rc1,active,"2.16.840.1.113883.3.1937.777.24.5.3",MII CS Consent Policy,MII Consent: Policy CodeSystem,"Codesystem mit Consent-Policy-Codes zur interoperablen Operationalisierung bzw. Durchsetzung (Enforcement) von Consent Informationen des MII Broad Consent","ValueSet/2.16.840.1.113883.3.1937.777.24.11.36--20230331232804"
